амаравкэваратэн	а/маравкэва/ра/тэн
нъытааӄонат	н/ъытааӄо/на/т
мэчынкы	мэчын/кы
мытԓыӈэн	мыт/ԓыӈэн
ынантаагытԓечьыт	ынантаа/гытԓе/чьы/т
ынӄо	ынӄо
мэмыԓ	мэмыԓ
рагтыгъэ	ра/гты/гъэ
инъэ	инъ/э
ынан	ынан
рыгъевнин	ры/гъев/ни/н
гэмавъе	гэ/мав/ъе
ынкъам	ынкъам
рымӈыԓявнэн	ры/мӈыԓ/яв/нэ/н
энмэн	энмэн
еп	еп
ӈирэӄ	ӈирэӄ
ыԓёӈэттэ	ыԓё/ӈэт/тэ
гаԓяк	гаԓя/к
ыттувйи	ыттув/йи
энмэч	энмэч
гэквэтԓин	г/эквэт/ԓин
нъэԓгъи	н/ъэԓ/гъ/и
ытръэч	ытръэч
ыннэн	ыннэн
мычвынъёԓгын	мы/чвынъ/ёԓгы/н
вэчьым	вэч/ьым
деԓегат	деԓег/ат
ӄэйыӄын	ӄэйыӄы/н
ратвагъа	ра/тва/гъа
въэӈык	въэӈы/к
эвытԓым	эвытԓым
риӈэнэӈ	риӈэ/нэ/ӈ
уйӈэ	уйӈэ
ратвагъа	ра/тва/гъа
миӈкыри	миӈ/кы/ри
ӄун	ӄун
рэӈама	рэӈ/ам/а
тэгрыӈэ	тэгры/ӈэ
каԓеткосӄэвынво	каԓе/тко/сӄэвы/нво
хабаровскагты	хабаровска/гты
ынан	ынан
ӈирэӄ	ӈирэӄ
ыԓёӈэт	ыԓё/ӈэт
атчанэн	атча/нэн
риӈэнэӈ	риӈэ/нэ/ӈ
ръэтгыпыԓьын	ръэт/гыпы/ԓьы/н
деԓегатык	деԓега/тык
ԓыгэёанмачы	ԓыгэ/ёан/мачы
атчакэн	атча/кэн
яраӈы	яра/ӈы
эмэйӈыкыԓьин	э/мэйӈы/кы/ԓь/ин
номӄэн	ном/ӄэн
чама	чама
ныӄэргыӄэн	ны/ӄэргы/ӄэн
ковԓёкы	ковԓё/кы
стоԓык	сто/ԓы/к
нывакъотваӄэнат	ны/вакъо/тва/ӄэна/т
гэмавъе	гэ/мав/ъе
ыттувги	ыттув/ги
риӈэнэӈэткуԓьын	риӈэн/эӈэтку/ԓьы/н
савин	са/вин
ынкъам	ынкъам
ԓымӈэ	ԓым/ӈэ
ӄоԓ	ӄоԓ
йыӈаё	йыӈ/аё
эԓгываԓӄыԓыргыԓьын	эԓгы/ваԓӄы/ԓыргы/ԓьы/н
гыроԓмакы	гыро/ԓмакы
нывэтчатваӄэнат	ны/вэтча/тва/ӄэна/т
ӈыроӄ	ӈыроӄ
ԓымӈэ	ԓым/ӈэ
йыӈаёттэ	йыӈ/аёт/тэ
ынкъам	ынкъам
мигчитԓьэт	мигчит/ԓьэт
аэропортакэн	аэро/порта/кэн
таакойӈын	таако/йӈы/н
рырамавъёчгын	рырам/ав/ъёч/гы/н
ынкъам	ынкъам
энаёчгын	эна/ё/чгы/н
ымыԓьорык	ымыԓьо/ры/к
нынчичьэтӄинэт	ны/н/чичь/эт/ӄинэ/т
энэчгытэты	энэчгытэты
савинына	сави/ны/н/а
энмэч	энмэч
нэнанмытԓыӈӄавӄэн	н/эна/нмытԓы/ӈӄав/ӄэн
пирик	пири/к
таакойӈын	таако/йӈы/н
эквыргаым	эквы/р/гаым
нэмэ	нэмэ
эмӄынгитэк	эмӄынгитэ/к
нинэԓьуӄинэт	н/инэ/ԓьу/ӄинэ/т
турыԓьыт	туры/ԓьы/т
каԓегыргыт	каԓе/гыргы/т
эԓьукэ	э/ԓьу/к/э
рытъёттэ	рытъёт/тэ
ыттъыёԓ	ыттъыёԓ
гэмавъе	гэ/мав/ъе
авъеткынка	авъе/ткын/к/а
нытваӄэн	ны/тва/ӄэн
ԓыԓет	ԓыԓе/т
ынин	ын/ин
нунтымӄинэт	нун/тым/ӄинэ/т
ытри	ытри
ӄынур	ӄынур
ытръэч	ытръэч
мэԓпэӈъивэтыԓьыт	мэԓпэ/ӈъив/эты/ԓьы/т
майӈыръэтгыпы	майӈы/ръэт/гыпы
курык	куры/к
эквырга	эк/вырга
чимгъучыку	чимгъу/чыку
ынык	ыны/к
игыр	игыр
ӄынур	ӄынур
крычмын	кры/чмы/н
нымэԓьэв	ны/мэԓьэв
гэчимгъуԓин	гэ/чимгъу/ԓин
нивӄин	н/ив/ӄин
савин	са/вин
коԓё	коԓё
нымэԓьэв	ны/мэԓьэв
ымыԓьо	ымыԓьо
ниничгытӄинэт	н/ин/ичгыт/ӄинэ/т
ымнымытваӈэт	ымнымытва/ӈэт
ванэван	ванэван
мынԓьугъэн	мын/ԓьу/гъэ/н
ынӈин	ынӈин
тэӈэԓьын	тэӈэ/ԓьы/н
мигчир	мигчир
ынан	ынан
йыԓнин	йыԓ/ни/н
таакойӈын	таако/йӈы/н
аэропортармагты	аэро/порт/арма/гты
ынкъам	ынкъам
ԓымӈэ	ԓым/ӈэ
иквъи	ик/въ/и
ӄырым	ӄырым
нъытвагъан	н/ъытва/гъа/н
ӈээӄ	ӈээӄ
нивӄинэт	н/ив/ӄинэ/т
таӈычьатгыргын	таӈы/чь/ат/гыргы/н
аӄатвагырга	а/ӄатва/гырга
эвинрэткэ	эвинрэт/к/э
эпиӈэръукэ	эпиӈэ/ръу/к/э
нъитгъэн	н/ъит/гъэ/н
мури	мури
ӄырым	ӄырым
нъыйъоткогъан	н/ъыйъо/тко/гъа/н
ытръэч	ытръэч
вай	вай
гымнан	гым/нан
тривӈыркынигыт	т/рив/ӈы/ркын/игыт
тумгытум	тумгытум
гэмавъей	гэ/мав/ъей
таӈнымытвагыргын	таӈ/ны/мытва/гыргы/н
гынин	гын/ин
тывъё	ты/въё
ынӄэн	ынӄэн
маԓӄырымэн	маԓӄырым/эн
америкаԓьэн	а/мерика/ԓь/эн
гым	гым
тычимгъуркын	ты/чимгъу/ркын
ынӄэн	ынӄэн
вагыргын	вагыргы/н
индейцаԓьыргэн	индейца/ԓьы/ргэн
нъыйъоткогъан	н/ъыйъо/тко/гъа/н
ытръэч	ытръэч
вай	вай
гымнан	гым/нан
тривӈыркынигыт	т/рив/ӈы/ркын/игыт
тумгытум	тумгытум
гэмавъей	гэ/мав/ъей
таӈнымытвагыргын	таӈ/ны/мытва/гыргы/н
гынин	гын/ин
тывъё	ты/въё
ынӄэн	ынӄэн
маԓӄырымэн	маԓӄырым/эн
америкаԓьэн	а/мерика/ԓь/эн
гым	гым
тычимгъуркын	ты/чимгъу/ркын
ынӄэн	ынӄэн
вагыргын	вагыргы/н
индейцаԓьыргэн	индейца/ԓьы/р/гэн
нырэӄыным	ны/рэӄы/ным
гэмавъена	гэ/мав/ъен/а
нэнапаԓёмтэԓӄэнат	н/эна/паԓём/тэԓ/ӄэна/т
ынӄэнат	ынӄэна/т
вэтгавыт	вэтгавы/т
ынӄэната	ынӄэна/та
