CIkamIyorum	CIk/amIyor/um
tanIStIracak	tan/IS/tIr/acak
tanImlayabileceGimizi	tan/Im/la/yabil/eceG/imiz/i
tanIrlar	tan/Ir/lar
tanItIyorum	tan/It/Iyor/um
tarlalar	tarla/lar
tartISIlmadIGInI	tartIS/Il/ma/dIG/In/I
tasarlanamaz	tasar/lan/amaz
tasarlayabilir	tasar/la/yabil/ir
tasfiyeden	tasfiye/den
taslaktaki	taslak/ta/ki
tavdIr	tav/dIr
teSvikleriyle	teSvik/ler/i/yle
tecrUbeleriyle	tecrUbe/ler/i/yle
tedarikCisi	tedarik/Ci/si
tedmer	tedmer
tehlikelidir	tehlike/li/dir
tehlikenin	tehlike/n/in
teknelerden	tekne/ler/den
teknesini	tekne/si/ni
teknolojileri	teknoloji/ler/i
tekrarlanmalIdIr	tekrar/lan/ma/lI/dIr
tekstilinin	tekstil/i/nin
temada	tema/da
temizlemesini	temiz/le/me/si/ni
tempoyu	tempo/yu
tenteli	tente/li
terminaline	terminal/i/ne
tertibatIn	tertibat/In
tesadUflerin	tesadUf/ler/in
tezgahIndaki	tezgah/I/nda/ki
ticaretimizi	ticaret/imiz/i
titreyerek	titre/yerek
titriyor	titr/iyor
tiyatrolarda	tiyatro/lar/da
tiyatrosuna	tiyatro/su/na
topallayarak	topal/la/yarak
toplanamadI	topla/n/ama/dI
toplusOzleSmeli	toplusOzleSme/li
torunlarInI	torun/lar/In/I
trajedilere	trajedi/ler/e
trajedileri	trajedi/ler/i
trajedisine	trajedi/si/ne
trombon	trombon
turcas	turcas
tuttururlar	tut/tur/ur/lar
tutulma	tut/ul/ma
tutulmalI	tut/ul/ma/lI
tuvali	tuval/i
uGradIk	uGra/dI/k
uGurladIGImIz	uGur/la/dIG/Im/Iz
ufalanma	ufa/lan/ma
ulaSmamIza	u/laS/ma/mIz/a
ulaSmasIndan	u/laS/ma/sI/ndan
ulumanIn	ulu/ma/nIn
umursamadIGI	umursa/ma/dIG/I
unsurlarIna	unsur/larI/na
unutabilir	unut/abil/ir
unutabiliriz	unut/abil/ir/iz
unvanlarIyla	unvan/larI/yla
uyanIrdIk	uyan/Ir/dI/k
uyaranIn	uyar/an/In
uzamIS	uza/mIS
uzatmazdI	uza/t/maz/dI
uzayInda	uzay/In/da
uzlaSarak	uz/laS/arak
uzmanlaStIGI	uzman/laS/tIG/I
vahSetleri	vahSet/leri
vahSiliGi	vahSi/liG/i
vakanUvis	vakanUvis
varacaktIr	var/acak/tIr
varislerden	varis/ler/den
vasiyetnameden	vasiyetname/den
vatandaSlarIn	vatandaS/lar/In
vekilini	vekil/in/i
venden	ve/n/den
verdiGinizi	ver/diG/iniz/i
verdiren	ver/dir/en
verebilmelerini	ver/ebil/me/ler/in/i
verebilmelidir	ver/ebil/meli/dir
vergisini	vergi/si/ni
verilerinizi	veri/ler/iniz/i
verilmekte	ver/il/mek/te
veritabanlarIyla	veritaban/larI/yla
vermeseydim	ver/me/se/ydi/m
verniGi	verniG/i
vurabilecek	vur/abil/ecek
yOnelmektedir	yOnel/mek/te/dir
yurttaSlarImIza	yurttaS/lar/ImIz/a
