aatteilla	aatte/i/lla
oivalluksissaan	oivall/uks/i/ssa/an
oluelta	olue/lta
olutostot	olut/osto/t
olympiavaatimusten	olympia/vaatimus/t/en
olympiavuotta	olympia/vuo/tta
omenallani	omena/lla/ni
omenapiiraan	omena/piiraa/n
omistautua	omistautu/a
omistautuneina	omistautu/ne/i/na
ongelmapelurille	ongelma/peluri/lle
opiskelijamääriä	opiskeli/ja/määr/i/ä
oppisuuntien	oppi/suu/n/tie/n
oraat	oraa/t
orasta	ora/sta
orkesterisäestyksen	orkesteri/säest/ykse/n
osakkaitten	osakka/i/tten
osioista	osio/i/sta
osiolta	osio/lta
ostovoimaa	osto/voi/maa
osuuspankkikeskuksessa	osuus/pankki/keskukse/ssa
otsasta	otsa/sta
otsatukka	otsa/tukka
otteeseen	ottee/seen
ottolainausenemmyys	otto/laina/us/enemmyys
paikallisjunalla	paikallis/juna/lla
paisunta-astian	paisu/nta/-/astia/n
paisuvilla	paisu/v/i/lla
pakkassää	pakkas/sää
pakolaisasema	pakolais/asema
paksunsuolensyövässä	paksu/n/suole/n/syö/vä/ssä
palestiinalaisaktivistin	palestiinalais/aktivisti/n
palestiinalaisjohtoisen	palestiinalais/johtoise/n
palestiinalaisvaaleihin	palestiinalais/vaale/i/hin
palkintojenjakoiltaan	palki/nto/j/en/jako/ilta/an
palkintopallia	palkinto/palli/a
palkkaakaan	palkka/a/kaan
palloiluun	palloil/u/un
palveluasunnon	palvel/u/asunno/n
palveluhalua	palvel/u/halu/a
pankkivirkailijana	pankki/virkailija/na
paperimiehen	paperi/miehe/n
paronitarta	paronitar/ta
paronittarelta	paronittare/lta
peitellään	peit/el/lä/än
peitetyksi	peite/ty/ksi
peittoaa	peittoa/a
pelastamatta	pelasta/ma/tta
pelastustehtäviin	pelast/us/tehtäv/i/in
peltinen	peltinen
peltiseen	peltise/en
perhosuintispesialisti	perhos/uinti/spesialisti
perinnetietoinen	perinne/tietoinen
perinteitten	perinte/i/tten
perinteitäkään	perinte/i/tä/kään
perunakaupoista	peru/na/kaupo/i/sta
peruskorossa	perus/koro/ssa
peruslähteille	perus/lähte/i/lle
perusporukkaa	perus/porukka/a
peseytymistilana	peseyty/mis/tila/na
pesimärauha	pesi/mä/rauha
pesäpallomuistot	pesä/pallo/muisto/t
pesäpallotyyliin	pesä/pallo/tyyli/in
pidätettävien	pidä/te/ttä/v/i/en
piiraita	pii/raita
piirakoista	pii/rako/i/sta
piirtäisi	piirtä/isi
piirtämistään	piirtä/m/i/stä/än
pikkulohkon	pikku/lohko/n
pikkurämeiden	pikku/räme/i/den
pikkuseikkoja	pikku/seikko/j/a
pimenisi	pimen/isi
pimennysverhot	pime/nn/ys/verho/t
pituisiksi	pituis/i/ksi
pitäjänkarttaan	pitä/jä/n/kart/ta/an
plakaatteineen	plakaatte/ine/en
poikastuotannosta	poikas/tuotanno/sta
poikastuotanto	poikas/tuotanto
poimintakaudella	poimi/nta/kaude/lla
poimittu	poimi/ttu
poliisijärjestelmän	poliisi/järjestelmä/n
poliisiralli	poliisi/ralli
poltellut	polt/el/lu/t
poltettiin	polte/tt/i/in
pompottavana	pompotta/va/na
pompottelussa	pompott/el/u/ssa
potkuhousuja	potku/housu/j/a
projektiavustusta	projekti/avust/us/ta
projektinjohtopalveluja	projekti/n/johto/palvel/u/j/a
prosenttilinjalla	prosentti/linja/lla
psykoottisia	psykoottis/i/a
psykoottista	psykoottis/ta
puhallukset	puhall/ukse/t
puhdistamon	puhdistamo/n
puhdistamourakka	puhdistamo/urakka
pukeutumisetiketistä	puke/utu/mis/etiketi/stä
pukeutumistiloissa	puke/utu/mis/tilo/i/ssa
puoluekoneistolle	puolue/koneisto/lle
purjehtijan	purjehti/ja/n
purjehtinut	purjehti/nut
puutarhapalstallaan	puu/tarha/palsta/lla/an
puutarhatila	puu/tarha/tila
puutuoteteollisuus	puu/tuote/teollis/uus
pyhäaikataulujen	pyhä/aika/taulu/j/en
pyrkimyksillämme	pyrkimyks/i/llä/mme
päiväkirjamerkintöjen	päivä/kirja/merki/ntö/j/en
päivätyökeräyksen	päivä/työ/kerä/ykse/n
pälkähti	pälkäht/i
pälkähtänyt	pälkähtä/nyt
pätevänä	päte/vä/nä
päähenkilöissä	pää/henkilö/i/ssä
päähenkilöään	pää/henkilö/ä/än
päänkivistystä	pää/n/kivist/ys/tä
päätösprosessiin	päätös/prosessi/in
pöydällenne	pöydä/lle/nne
raaka-ainekustannuksissa	raaka/-/aine/kustann/uks/i/ssa
raamien	raam/i/en
rahamääräinen	raha/määräinen
raidevälien	raide/väl/i/en
raidoista	raido/i/sta
raipparangaistukseen	raippa/rangais/tu/kse/en
rakennuspuiksi	rakenn/us/pu/i/ksi
ranskalaistyylistä	ranskalais/tyyli/stä
rauhallisempaan	rauha/llise/mpa/an
rauhanhalua	rauha/n/halu/a
rauhanturvaajajääkäri	rauha/n/turvaa/ja/jääkäri
rauhanturvausreissuja	rauha/n/turva/us/reissu/j/a
rautatiekääntösillan	rauta/tie/kääntö/silla/n
rekisterinpitäjät	rekisteri/n/pitä/jä/t
rekisteriä	rekisteri/ä
rentouttaa	rentoutta/a
rentouttamaan	rentoutta/ma/an
rentoutuneeksi	rentout/u/nee/ksi
rippikirjat	rippi/kirja/t
rippikouluikään	rippi/koulu/ikä/än
riskeeraamaan	riskeeraa/ma/an
riskeeraamatta	riskeeraa/ma/tta
riskeerattua	riskeera/ttu/a
rockelämän	rock/elämä/n
rokotetut	rokote/tu/t
rokottamalla	rokotta/ma/lla
roomalaiskirjeen	roomalais/kirjee/n
roomalaiskirjeeseen	roomalais/kirjee/seen
ruohosipulilla	ruoho/sipuli/lla
ruokafilosofiani	ruoka/filosofi/a/ni
ruotsalaislehden	ruotsalais/lehde/n
ruuhka	ruuhka
röntgenlaitteen	röntgen/laittee/n
röntgensäteillä	röntgen/säte/i/llä
saalistavan	saalis/tava/n
saalistikin	saalis/tiki/n
sairastuttuani	sairas/tuttu/a/ni
saksalaiskirjailijoiden	saksalais/kirjaili/jo/i/den
saksipotku	saksi/potku
santamäki-vuoren	santa/mäki/-/vuore/n
santarmeille	santarme/i/lle
santarmien	santarm/i/en
sarparannan	sarparanna/n
sarparanta	sarparanta
saviselle	savise/lle
seikaksi	seika/ksi
sekajätteiden	seka/jätte/i/den
sekarotuisen	seka/rotuise/n
selvimmillään	selv/imm/i/llä/än
selviäisikö	selviä/isi/kö
selviämme	selv/i/ä/mme
seurustelet	seurustele/t
seurustelurinkiin	seurustel/u/rinki/in
silfverberg	silfverberg
silfverbergin	silfverbergi/n
sillifileet	silli/filee/t
siveltimen	siveltime/n
siveltimille	siveltim/i/lle
skitsofrenia	skitsofrenia
skitsofreniapotilaita	skitsofrenia/potila/i/ta
sokeritaudilla	sokeri/taudi/lla
sopimuskorotuksista	sopimus/korot/uks/i/sta
sotarikolliset	sota/riko/llise/t
sotasaaliiksi	sota/saali/i/ksi
sotilaspolitiikkaan	sotilas/politiikka/an
sovelluksien	sovell/uks/i/en
standardikysymyksissä	standardi/kysymyks/i/ssä
sts-pankista	sts/-/panki/sta
sts-ryhmän	sts/-/ryhmä/n
sukkasi	sukka/si
suksifirma	suksi/firma
suksitehtaan	suksi/tehtaa/n
sukupuolivalistus	suku/puoli/valist/us
suojele	suojele
suomenruotsalaisia	suome/n/ruotsalais/i/a
surivat	sur/i/vat
surrun	sur/ru/n
suurimittaisesta	suuri/mittaise/sta
syväkairaukset	syvä/kaira/ukse/t
syyteharkinta	syyte/harki/nta
syöpäyhdistysten	syöpä/yhdist/ys/t/en
sädekehänä	säde/kehä/nä
säestettiin	säeste/tt/i/in
sähköliikenne	sähkö/liikenne
sähkönsaanti	sähkö/n/saa/nti
säilytellä	säily/t/el/lä
säilytyspaikkojakaan	säily/t/ys/paikko/j/a/kaan
särkikalojen	särki/kalo/j/en
säteilynäytteen	säteil/y/näyttee/n
sätkynukkeina	sätky/n/ukke/i/na
säveltäjäneroa	säveltä/jä/n/ero/a
säähavainto	sää/havainto
säästöpankkiopistolla	säästö/pankki/opisto/lla
säästösummat	säästö/summa/t
taistelukoneiden	taistel/u/kone/i/den
taivallettiin	taival/letti/in
taivalluksen	taivall/ukse/n
tajuttomaan	taju/ttoma/an
takaisinmaksuna	takais/i/n/maksu/na
talouskomissiossa	talo/usko/missio/ssa
talouskomissiota	talo/usko/missio/ta
talvesta	talve/sta
talvikengät	talvi/kengä/t
tankkeriin	tankkeri/in
tapaturma-asemalta	tapa/turma/-/asema/lta
tapaukselle	tapa/ukse/lle
tappiotilastoon	tappio/tilasto/on
tarinailta	tarina/ilta
tarjousmenettelyä	tarjous/menettel/y/ä
tarkkailumatkan	tarkka/il/u/matka/n
tarttuvaan	tarttu/va/an
tartumme	tartu/mme
tasa-arvoasiamiehelle	tasa/-/arvo/asia/miehe/lle
taudinkuvat	taudi/n/kuva/t
taustajoukoissa	taus/ta/jouko/i/ssa
taustatietona	taus/ta/tieto/na
teatterinukkien	teatteri/n/ukk/i/en
teatteritilat	teatteri/tila/t
teatterityöntekijät	teatteri/työ/n/tekijä/t
teheraniin	teherani/in
teollisuudenaloista	teollis/uude/n/alo/i/sta
testiaikoja	testi/aiko/j/a
tiedenaiset	tiede/naise/t
tiedonpuutteensa	tiedo/n/puuttee/nsa
tiedonsirujen	tiedo/n/siru/j/en
tieosakkaiden	tie/osakka/i/den
tietokantasovelluksissa	tieto/kanta/sovell/uks/i/ssa
tilaansa	tila/a/nsa
tipautettu	tipaute/ttu
tipautti	tipautt/i
tipin	tipi/n
tippien	tipp/i/en
tittelikamppailussa	titteli/kamppa/il/u/ssa
toimenpiteenään	toime/n/pitee/nä/än
toimintaelokuvana	toimi/nta/elo/kuva/na
toimintasuunnitelmassaan	toimi/nta/suunnitelma/ssa/an
